광역지자체,자치구,연월,주기,지표명,값,단위
경기,,2025-01,반기(구합산),취업자 (천명),7548.6,
경기,,2025-07,반기(구합산),15세이상인구 (천명),12243.1,
경기,,2025-07,반기(구합산),경제활동인구 (천명),7830.9,
경기,,2025-07,반기(구합산),비경제활동인구 (천명),4412.1,
경기,,2025-07,반기(구합산),실업자 (천명),276.5,
경기,,2025-07,반기(구합산),취업자 (천명),7554.1,
경기,,2026-01,반기(구합산),15세이상인구 (천명),12305.7,
경기,,2026-01,반기(구합산),경제활동인구 (천명),7862.6,
경기,,2026-01,반기(구합산),비경제활동인구 (천명),4442.8,
경기,,2026-01,반기(구합산),실업자 (천명),259.6,
경기,,2026-01,반기(구합산),취업자 (천명),7602.7,
경남,,2008-01,연간,15세이상인구 (천명),2548,
경남,,2008-01,연간,경제활동인구 (천명),1603.8,
경남,,2008-01,연간,경제활동참가율 (％),62.9,
경남,,2008-01,연간,고용률 (%),61.6,
경남,,2008-01,연간,비경제활동인구 (천명),944.2,
경남,,2008-01,연간,실업률 (％),2.1,
경남,,2008-01,연간,실업자 (천명),34.4,
경남,,2008-01,연간,취업자 (천명),1569.4,
경남,,2009-01,연간,15세이상인구 (천명),2589.3,
경남,,2009-01,연간,경제활동인구 (천명),1619.5,
경남,,2009-01,연간,경제활동참가율 (％),62.5,
경남,,2009-01,연간,고용률 (%),60.5,
경남,,2009-01,연간,비경제활동인구 (천명),969.7,
경남,,2009-01,연간,실업률 (％),3.2,
경남,,2009-01,연간,실업자 (천명),52,
경남,,2009-01,연간,취업자 (천명),1567.5,
경남,,2010-01,연간,15세이상인구 (천명),2627.5,
경남,,2010-01,연간,경제활동인구 (천명),1622.5,
경남,,2010-01,연간,경제활동참가율 (％),61.8,
경남,,2010-01,연간,고용률 (%),59.9,
경남,,2010-01,연간,비경제활동인구 (천명),1005,
경남,,2010-01,연간,실업률 (％),3,
경남,,2010-01,연간,실업자 (천명),48.3,
경남,,2010-01,연간,취업자 (천명),1574.2,
경남,,2011-01,분기,15세이상인구 (천명),2644.7,
경남,,2011-01,분기,경제활동인구 (천명),1658.6,
