광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
대구,,2011-09,2008,95,242
대구,,2011-10,106,1906,28
대구,,2011-11,267,47,28
대구,,2011-12,5329,426,2782
대구,,2012-01,362,0,16
대구,,2012-02,608,0,1758
대구,,2012-03,0,418,705
대구,,2012-04,160,326,0
대구,,2012-05,774,1285,
대구,,2012-06,637,1538,96
대구,,2012-07,162,,478
대구,,2012-08,86,637,47
대구,,2012-09,18,18,0
대구,,2012-10,29,959,24
대구,,2012-11,1508,291,0
대구,,2012-12,5528,5818,-401
대구,,2013-01,410,86,0
대구,,2013-02,479,908,510
대구,,2013-03,0,3909,0
대구,,2013-04,12,1785,1669
대구,,2013-05,468,1234,979
대구,,2013-06,57,28,1600
대구,,2013-07,688,476,0
대구,,2013-08,1111,688,854
대구,,2013-09,540,2484,1118
대구,,2013-10,2383,2160,195
대구,,2013-11,2851,4339,350
대구,,2013-12,6332,3578,4307
대구,,2014-01,822,1039,269
대구,,2014-02,58,4847,533
대구,,2014-03,365,3147,
대구,,2014-04,84,695,975
대구,,2014-05,4738,681,231
대구,,2014-06,1582,6173,518
대구,,2014-07,808,204,1460
대구,,2014-08,2312,1544,1562
대구,,2014-09,812,3192,330
대구,,2014-10,2736,52,979
대구,,2014-11,302,3003,161
대구,,2014-12,2807,4185,2293
대구,,2015-01,813,1721,2023
대구,,2015-02,532,734,549
대구,,2015-03,890,89,2491
대구,,2015-04,1606,1066,2121
대구,,2015-05,1093,1829,579
대구,,2015-06,2454,2595,113
대구,,2015-07,833,1838,643
대구,,2015-08,2071,1893,1529
대구,,2015-09,1154,185,1669
대구,,2015-10,1882,612,36
대구,,2015-11,4106,3075,2550
대구,,2015-12,9015,1246,5291
대구,,2016-01,860,1927,2216
대구,,2016-02,51,1093,791
대구,,2016-03,541,2668,2815
대구,,2016-04,4539,251,1641
대구,,2016-05,3073,1124,483
대구,,2016-06,4516,2082,6776
대구,,2016-07,1286,2691,1746
대구,,2016-08,1437,115,1843
대구,,2016-09,1618,22,624
대구,,2016-10,1234,112,2725
대구,,2016-11,1545,1365,1946
대구,,2016-12,2337,1829,3669
대구,,2017-01,1534,409,996
대구,,2017-02,954,16,2247
대구,,2017-03,2874,764,1310
대구,,2017-04,2060,1755,95
대구,,2017-05,4493,480,114
대구,,2017-06,6574,530,1689
대구,,2017-07,2615,709,5728
대구,,2017-08,1087,1083,745
대구,,2017-09,513,682,2803
대구,,2017-10,3000,981,1813
대구,,2017-11,844,588,1046
대구,,2017-12,5481,3900,470
대구,,2018-01,795,568,347
대구,,2018-02,10301,596,1129
대구,,2018-03,814,2203,1338
대구,,2018-04,1146,1989,2366
대구,,2018-05,1191,2270,58
대구,,2018-06,3306,2113,126
대구,,2018-07,433,2613,33
대구,,2018-08,2873,64,2090
대구,,2018-09,3020,3883,911
대구,,2018-10,724,2467,842
대구,,2018-11,3842,1578,3139
대구,,2018-12,6494,3837,3122
대구,,2019-01,366,3119,76
대구,,2019-02,1600,48,698
대구,,2019-03,1003,590,24
대구,,2019-04,1768,1277,2234
대구,,2019-05,2206,7149,
대구,,2019-06,1001,3289,947
대구,,2019-07,2746,1930,428
대구,,2019-08,1386,1099,332
대구,,2019-09,1943,811,723
대구,,2019-10,3110,3521,1531
대구,,2019-11,4084,3462,814
대구,,2019-12,5375,3709,1626
대구,,2020-01,872,375,745
대구,,2020-02,1459,1446,1437
대구,,2020-03,2118,1737,713
대구,,2020-04,3152,2868,2240
대구,,2020-05,315,2524,420
대구,,2020-06,2995,3649,2094
대구,,2020-07,3153,12259,1108
대구,,2020-08,2404,1148,1963
대구,,2020-09,3678,301,64
대구,,2020-10,1880,2962,2676
대구,,2020-11,191,820,958
대구,,2020-12,4016,4694,2495
대구,,2021-01,279,1756,99
대구,,2021-02,1384,1968,225
대구,,2021-03,5133,3284,1949
대구,,2021-04,1605,903,64
대구,,2021-05,675,1458,
대구,,2021-06,618,5415,2128
대구,,2021-07,2146,3765,704
대구,,2021-08,2731,3854,698
대구,,2021-09,1836,2554,2086
대구,,2021-10,1532,1871,987
대구,,2021-11,515,817,5734
대구,,2021-12,4313,1758,612
대구,,2022-01,2638,1736,343
대구,,2022-02,1091,618,
